align_step,alpha,bbp_step,beta,dim,feature_projection,feature_rate_ratio,freon_c,grad_mode,h_bulk_edge_q,h_edge_isotropic,h_gap_q,haa_trace_over_n,hww_bulk_edge_q,hww_edge_isotropic,hww_gap_q,hww_top_eig,hww_trace_over_n,loss,lr_v,lr_w,momentum,muon_nesterov,muon_ns_steps,muon_update_scale,optimizer,projected_lambda_residual_norm,projected_residual_teacher_cos,projected_teacher_norm,r_i,r_ii,r_ii_projected,rand_spectrum_high,readout_optimizer,residual_lambda_norm,seed,source,spectral_assume_rank_one,spike_m,step,sv_bulk_edge_q,sv_gap_q,top_h_proxy_eig,top_right_teacher_align_abs,top_singular_value,trace_w_lambda_wt_over_n,trunc_frac,v_norm,w_fro_over_n,width
2000,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.0458839051425457,4.047857702507763,1.2963387966156006,4.124484348722035e-06,4.4808501115767285e-05,0.003952986037605237,0.0012659558560699224,0.0013107643462717533,4.318379524193006e-06,0.04651125520467758,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.00866633653640747,0.6004812121391296,22.169925689697266,0.0016652903286740184,2.9480478763580322,4.906613826751709,1.175,sgd,0.010045328177511692,0,results/control_allbeta_10k/opt=freon_beta=0.2_N=1024_D=1000_alpha=1.25_seed=0_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,60.320945739746094,10000,60.97426986694336,165.16482543945312,1.3422226905822754,0.5122105479240417,226.13909912109375,4.528149127960205,0.05,33.7676887512207,1044.892333984375,1024
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.047436852008104324,4.047857702507763,1.4014875888824463,3.726254590219469e-06,4.632505078916438e-05,0.003952986037605237,0.001368640223518014,0.0014149652561172843,4.458290732145542e-06,0.04951053112745285,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.00970836728811264,0.6421432495117188,23.172269821166992,0.0016644599381834269,2.8003995418548584,4.6080780029296875,1.175,sgd,0.011125696823000908,1,results/control_allbeta_10k/opt=freon_beta=0.2_N=1024_D=1000_alpha=1.25_seed=1_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,59.273460388183594,10000,61.13483428955078,166.00384521484375,1.4489244222640991,0.5262792706489563,227.13868713378906,4.674856662750244,0.05,32.09613800048828,1047.5272216796875,1024
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.046741973608732224,4.047857702507763,1.351583480834961,3.989412562077632e-06,4.564645860227756e-05,0.003952986037605237,0.0013199057430028915,0.0013655521906912327,4.395986252347939e-06,0.04481935501098633,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.008742023259401321,0.6365928649902344,22.775558471679688,0.0016642314149066806,3.0476109981536865,4.945791721343994,1.175,sgd,0.009880284778773785,2,results/control_allbeta_10k/opt=freon_beta=0.2_N=1024_D=1000_alpha=1.25_seed=2_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,63.847862243652344,10000,60.962127685546875,163.81341552734375,1.3983254432678223,0.5544797778129578,224.77554321289062,4.609525680541992,0.05,33.21016311645508,1044.5941162109375,1024
2000,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.2993186116218567,1.8435417527999325,1.0090632438659668,0.00024293737078551203,0.0023384266532957554,0.014402669943749473,0.007883306592702866,0.010221733711659908,0.00027006553136743605,0.1043458878993988,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.0008240776951424778,0.020168982446193695,45.7367057800293,0.013477149419486523,3.1979002952575684,152.13247680664062,1.175,sgd,0.027302749454975128,0,results/control_allbeta_10k/opt=freon_beta=0.2_N=128_D=1000_alpha=1.25_seed=0_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,43.101558685302734,10000,42.11629867553711,87.91011047363281,1.3083819150924683,0.236794114112854,130.0264129638672,4.424753665924072,0.05,11.453248977661133,1113.4212646484375,128
2000,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.3401556611061096,1.8435417527999325,1.3668508529663086,0.0002952843497041613,0.0026574661023914814,0.014402669943749473,0.010678522288799286,0.01333598792552948,0.00030094460817053914,0.10419517755508423,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.0017132567008957267,0.018035711720585823,50.626129150390625,0.013520591892302036,2.9736227989196777,66.37348175048828,1.175,sgd,0.02663252502679825,1,results/control_allbeta_10k/opt=freon_beta=0.2_N=128_D=1000_alpha=1.25_seed=1_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,41.676509857177734,10000,42.049285888671875,79.5279769897461,1.7070064544677734,0.22383850812911987,121.57726287841797,4.930676460266113,0.05,12.627045631408691,1100.2911376953125,128
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.2883319556713104,1.8435417527999325,1.0753720998764038,0.0003091524704359472,0.0022525934036821127,0.014402669943749473,0.008401344530284405,0.010653938166797161,0.00027322053210809827,0.10135430842638016,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.0016128229908645153,-0.015694420784711838,51.16917037963867,0.01346762478351593,2.656487464904785,68.9071273803711,1.175,sgd,0.029135623946785927,2,results/control_allbeta_10k/opt=freon_beta=0.2_N=128_D=1000_alpha=1.25_seed=2_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,50.94358444213867,10000,41.977237701416016,83.43452453613281,1.3637040853500366,0.2580375373363495,125.41175842285156,4.476445198059082,0.05,12.920160293579102,1111.93701171875,128
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.021479420363903046,5.9101670111997295,1.3917205333709717,9.675510455053882e-07,1.0487998224562034e-05,0.002885823735937368,0.0006795510416850448,0.0006900390144437551,1.1061815712309908e-06,0.03686434030532837,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.007180685177445412,0.7379797697067261,19.513059616088867,0.0008316861931234598,2.7184391021728516,4.322693824768066,1.175,sgd,0.007952101528644562,0,results/control_allbeta_10k/opt=freon_beta=0.2_N=2048_D=1000_alpha=1.25_seed=0_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,70.29676818847656,10000,74.29792785644531,243.96681213378906,1.4131999015808105,0.6168475151062012,318.2647399902344,4.63966178894043,0.05,46.25923538208008,1045.83447265625,2048
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.02091408707201481,5.9101670111997295,1.3916453123092651,9.860174259301857e-07,1.021195657813223e-05,0.002885823735937368,0.0006795143126510084,0.0006897262646816671,1.1070018217651523e-06,0.0373261496424675,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.006758411880582571,0.7544201016426086,18.80565071105957,0.0008317051106132567,2.6454834938049316,4.549569606781006,1.175,sgd,0.008094520308077335,1,results/control_allbeta_10k/opt=freon_beta=0.2_N=2048_D=1000_alpha=1.25_seed=1_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,70.71739196777344,10000,74.41377258300781,238.9309844970703,1.4125593900680542,0.6236000657081604,313.3447570800781,4.643102169036865,0.05,46.6985969543457,1046.5504150390625,2048
1500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.021918192505836487,5.9101670111997295,1.4295605421066284,9.433763921151694e-07,1.0702242434490472e-05,0.002885823735937368,0.0006980276084505022,0.000708729843609035,1.1189588349225232e-06,0.03750642389059067,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.006898826919496059,0.7449491024017334,19.037904739379883,0.000831404875498265,2.729301929473877,4.556585788726807,1.175,sgd,0.008021293208003044,2,results/control_allbeta_10k/opt=freon_beta=0.2_N=2048_D=1000_alpha=1.25_seed=2_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,70.18267059326172,10000,74.41380310058594,244.4091033935547,1.4514787197113037,0.6222426295280457,318.8229064941406,4.693253517150879,0.05,45.677677154541016,1046.746337890625,2048
2500,1.25,0,0.2,1000,bap,0.696436,0.5,population,0.19225281476974487,2.267928851253881,1.1732728481292725,6.377901445375755e-05,0.0007509875576943159,0.008859097075210473,0.0045830970630049706,0.00533408485352993,7.082820229697973e-05,0.07326697558164597,0.04,0.02785744,0.0,0,5,sqrt_aspect,freon,0.0008429277804680169,0.07864484935998917,31.81869888305664,0.006690178066492081,3.747523784637451,102.6273193359375,1.175,sgd,0.016076451167464256,0,results/control_allbeta_10k/opt=freon_beta=0.2_N=256_D=1000_alpha=1.25_seed=0_grad=population_lrw=0.0278574_lrv=0.04_mom=0_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175/metrics.jsonl,1,62.66777420043945,10000,46.37592697143555,139.34255981445312,1.365525722503662,0.32847458124160767,185.71849060058594,4.641797065734863,0.05,16.598369598388672,1125.3524169921875,256
