optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
freon,0.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.4105224997871304,-0.4105224997871304,0.9594704708776227,0.8646277554500233,-0.8646277554500233,0.995035906925951,1.9808086028320746,-1.9808086028320746,0.9999298050153469,2.027461097723217,-2.027461097723217,0.9997694189219459,32 64 128 256 512 1024 2048,1.90737153e-01 1.46150644e-01 1.03298458e-01 6.70577064e-02 4.66440717e-02 4.69470471e-02 3.72323046e-02,0.00 0.00 0.00 0.00 0.00 0.00 0.00
fro_norm,0.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.4105224997871304,-0.4105224997871304,0.9594704708776227,0.8646277554500233,-0.8646277554500233,0.995035906925951,1.9808086028320746,-1.9808086028320746,0.9999298050153469,2.027461097723217,-2.027461097723217,0.9997694189219459,32 64 128 256 512 1024 2048,1.90737153e-01 1.46150644e-01 1.03298458e-01 6.70577064e-02 4.66440717e-02 4.69470471e-02 3.72323046e-02,0.00 0.00 0.00 0.00 0.00 0.00 0.00
muon,0.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,0.4104970041091374,-0.4104970041091374,0.9596871693172294,0.8801519855296555,-0.8801519855296555,0.9933336757849939,1.9916820037399783,-1.9916820037399783,0.9999379135018409,2.027659606712723,-2.027659606712723,0.9997753873487943,32 64 128 256 512 1024 2048,1.90396180e-01 1.46093652e-01 1.03296002e-01 6.70579523e-02 4.66269304e-02 4.69105902e-02 3.71857248e-02,0.00 0.00 0.00 0.00 0.00 0.00 0.00
polar,0.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.4105224997871304,-0.4105224997871304,0.9594704708776227,0.8646277554500233,-0.8646277554500233,0.995035906925951,1.9808086028320746,-1.9808086028320746,0.9999298050153469,2.027461097723217,-2.027461097723217,0.9997694189219459,32 64 128 256 512 1024 2048,1.90737153e-01 1.46150644e-01 1.03298458e-01 6.70577064e-02 4.66440717e-02 4.69470471e-02 3.72323046e-02,0.00 0.00 0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.4105224997871304,-0.4105224997871304,0.9594704708776227,0.8646277554500233,-0.8646277554500233,0.995035906925951,1.9808086028320746,-1.9808086028320746,0.9999298050153469,2.027461097723217,-2.027461097723217,0.9997694189219459,32 64 128 256 512 1024 2048,1.90737153e-01 1.46150644e-01 1.03298458e-01 6.70577064e-02 4.66440717e-02 4.69470471e-02 3.72323046e-02,0.00 0.00 0.00 0.00 0.00 0.00 0.00
sgd,0.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,-0.18570007335376407,0.18570007335376407,0.9311578439990471,0.9356037850525523,-0.9356037850525523,0.9927197349224686,2.018240191814253,-2.018240191814253,0.999947304188522,2.0921836925496096,-2.0921836925496096,0.9994157893188362,32 64 128 256 512 1024 2048,1.96854383e-01 1.89302862e-01 2.03526671e-01 2.40335971e-01 2.87843138e-01 3.38586857e-01 3.95703922e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
trunc_sgd,0.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,-0.1879984377594992,0.1879984377594992,0.991660698918663,0.8994854628912132,-0.8994854628912132,0.9898189815577736,2.007265135735929,-2.007265135735929,0.9999658725560886,2.137062742310722,-2.137062742310722,0.9996705581893259,32 64 128 256 512 1024 2048,2.09562908e-01 2.27305805e-01 2.54534245e-01 2.99502532e-01 3.53132923e-01 3.96274080e-01 4.37720180e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
freon,0.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.9053721512949178,-0.9053721512949178,0.9920444136405887,0.8684495073545807,-0.8684495073545807,0.9953937558186882,1.9792757567821078,-1.9792757567821078,0.9999353650215478,2.033385077020468,-2.033385077020468,0.9998591534622236,32 64 128 256 512 1024 2048,9.98000950e-02 6.45020617e-02 3.83385519e-02 2.02951413e-02 8.35934995e-03 5.33319451e-03 2.49802725e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
fro_norm,0.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.9053721512949178,-0.9053721512949178,0.9920444136405887,0.8684495073545807,-0.8684495073545807,0.9953937558186882,1.9792757567821078,-1.9792757567821078,0.9999353650215478,2.033385077020468,-2.033385077020468,0.9998591534622236,32 64 128 256 512 1024 2048,9.98000950e-02 6.45020617e-02 3.83385519e-02 2.02951413e-02 8.35934995e-03 5.33319451e-03 2.49802725e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
muon,0.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,0.9058240829227432,-0.9058240829227432,0.9918508865156693,0.875622902197806,-0.875622902197806,0.9934470841390571,1.9863087843506972,-1.9863087843506972,0.9999359716268291,2.0337882444944997,-2.0337882444944997,0.9998661462197447,32 64 128 256 512 1024 2048,9.93922477e-02 6.44276465e-02 3.83391418e-02 2.02991882e-02 8.35898705e-03 5.32613198e-03 2.48088672e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
polar,0.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,0.9053721512949178,-0.9053721512949178,0.9920444136405887,0.8684495073545807,-0.8684495073545807,0.9953937558186882,1.9792757567821078,-1.9792757567821078,0.9999353650215478,2.033385077020468,-2.033385077020468,0.9998591534622236,32 64 128 256 512 1024 2048,9.98000950e-02 6.45020617e-02 3.83385519e-02 2.02951413e-02 8.35934995e-03 5.33319451e-03 2.49802725e-03,0.00 0.00 0.00 0.00 0.00 0.00 0.00
