beta,width,sgd,adamw,rmsprop,trunc_sgd,rand_spectrum,muon,polar,fro_norm,freon
2.00000000e-01,64,1.37002965e-01,1.87192649e-01,2.05031703e-01,3.09922983e-01,1.35074854e-01,1.36663909e-01,1.35073140e-01,1.37054428e-01,1.35073140e-01
2.00000000e-01,128,1.09212307e-01,1.35601923e-01,1.39913122e-01,3.33925386e-01,9.17808513e-02,9.23940390e-02,9.17109127e-02,9.25975119e-02,9.17505696e-02
2.00000000e-01,256,1.11585592e-01,8.17283193e-02,8.60509525e-02,4.04715955e-01,4.69668669e-02,4.81540201e-02,4.64329024e-02,4.65153617e-02,4.64329024e-02
2.00000000e-01,512,1.28930127e-01,3.70394206e-03,5.76331482e-03,4.45528418e-01,1.89950305e-02,2.35705345e-02,1.65196564e-02,1.65222281e-02,1.65196549e-02
2.00000000e-01,1024,1.61389132e-01,4.50277138e-15,2.55791386e-04,4.72947011e-01,4.88118206e-03,9.63936280e-03,2.47982858e-03,2.47546867e-03,2.47978551e-03
5.00000000e-01,64,5.95777407e-02,1.51253944e-01,1.57097876e-01,2.06939295e-01,5.79889119e-02,5.94496826e-02,5.79035270e-02,5.96714479e-02,5.79035270e-02
5.00000000e-01,128,4.23268788e-02,1.16419775e-01,1.16882977e-01,2.42658839e-01,3.43302824e-02,3.47116974e-02,3.43076972e-02,3.48397133e-02,3.42764854e-02
5.00000000e-01,256,4.07963072e-02,8.27571228e-02,8.72761185e-02,3.44722718e-01,1.42780881e-02,1.43927218e-02,1.42086645e-02,1.42497731e-02,1.42086645e-02
5.00000000e-01,512,4.85816598e-02,4.90147198e-02,5.91907067e-02,4.08259124e-01,3.20250813e-03,3.76034699e-03,2.67594036e-03,2.67678375e-03,2.67602084e-03
5.00000000e-01,1024,6.83213025e-02,3.22666677e-15,7.56132601e-05,4.53255902e-01,7.08664763e-05,1.24282565e-04,9.11531659e-06,2.31397967e-05,1.09635897e-05
8.00000000e-01,64,2.81595811e-02,1.65353651e-01,2.27456783e-01,1.41522651e-01,2.68655028e-02,2.81186371e-02,2.65990372e-02,2.81279416e-02,2.65990372e-02
8.00000000e-01,128,1.76618323e-02,1.44012166e-01,1.59173364e-01,1.79316615e-01,1.37278344e-02,1.39803930e-02,1.35798492e-02,1.39370582e-02,1.35869940e-02
8.00000000e-01,256,1.51183475e-02,1.04823582e-01,1.42774639e-01,3.03759833e-01,4.57663011e-03,4.60262193e-03,4.56803789e-03,4.58839489e-03,4.56803789e-03
8.00000000e-01,512,1.76095658e-02,8.37192287e-02,1.03404800e-01,3.81846577e-01,5.72049292e-04,6.14935338e-04,4.35123521e-04,4.35811788e-04,4.35041962e-04
8.00000000e-01,1024,2.75269231e-02,3.17625309e-02,5.23229024e-02,4.38926786e-01,1.73812820e-05,7.04111767e-06,2.28118021e-05,1.14131359e-05,2.52193995e-05
1.20000000e+00,64,1.45513400e-02,1.95574239e-01,2.19483187e-01,8.53833407e-02,1.33366268e-02,1.44842664e-02,1.31626573e-02,1.45399850e-02,1.31626573e-02
1.20000000e+00,128,8.22143412e-03,1.93014791e-01,2.02400039e-01,1.27706667e-01,5.98586366e-03,6.13394209e-03,5.91936583e-03,6.15226508e-03,5.92201529e-03
1.20000000e+00,256,5.88060248e-03,1.14644570e-01,1.72768831e-01,2.71913504e-01,1.63098941e-03,1.63236967e-03,1.63937752e-03,1.64964306e-03,1.63937752e-03
1.20000000e+00,512,5.77872681e-03,1.12035001e-01,1.46226818e-01,3.60504488e-01,1.33325057e-04,1.14549170e-04,8.64755226e-05,8.64854325e-05,8.51661801e-05
1.20000000e+00,1024,9.18754842e-03,9.08333709e-02,1.40038510e-01,4.27031487e-01,1.45446726e-05,6.16433052e-06,3.69554706e-06,6.54087580e-06,8.54855883e-06
1.50000000e+00,64,1.10104640e-02,2.14827692e-01,2.67182564e-01,6.76139879e-02,9.85850301e-03,1.09299639e-02,9.63336322e-03,1.10409791e-02,9.63336322e-03
1.50000000e+00,128,6.09105888e-03,1.95967391e-01,2.34445949e-01,1.08031449e-01,4.24630412e-03,4.40194986e-03,4.24119799e-03,4.43865499e-03,4.24531133e-03
1.50000000e+00,256,4.07324824e-03,1.23946334e-01,1.88322683e-01,2.57749692e-01,1.10719194e-03,1.11348423e-03,1.11143570e-03,1.11900386e-03,1.11143570e-03
1.50000000e+00,512,3.38814726e-03,1.32740016e-01,1.69113924e-01,3.50708077e-01,1.00502410e-04,6.65307598e-05,5.10318265e-05,5.31760707e-05,5.52821463e-05
1.50000000e+00,1024,4.70465437e-03,1.07093024e-01,1.68199492e-01,4.21418319e-01,3.17061461e-05,2.22110987e-06,1.75397514e-05,8.18578239e-06,3.77755180e-05
