optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,rmsprop_alpha,rmsprop_momentum,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
adamw,0.2,minibatch,bap,0.02,0.02,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,9.567558004992884,-9.567558004992884,0.5991235947192599,2.845910548264083,-2.845910548264083,0.9709182583616252,3.372733728055818,-3.372733728055818,0.9906856392381187,0.07090277753342179,-0.07090277753342179,0.0052064503007970275,64 128 256 512 1024,1.87192649e-01 1.35601923e-01 8.17283193e-02 3.70394206e-03 4.50277138e-15,0.00 0.00 0.00 0.00 0.00
freon,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,1.400829690795174,-1.400829690795174,0.9175437261887006,0.8812254609018686,-0.8812254609018686,0.9956115453445752,1.895809733064,-1.895809733064,0.9891986704352821,2.034813928392292,-2.034813928392292,0.9999813622656136,64 128 256 512 1024,1.35073140e-01 9.17505696e-02 4.64329024e-02 1.65196549e-02 2.47978551e-03,0.00 0.00 0.00 0.00 0.00
fro_norm,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,1.406837205795947,-1.406837205795947,0.9187340877271266,0.8808738336181756,-0.8808738336181756,0.9988512523639502,1.982992981403875,-1.982992981403875,0.9999865705177743,2.034047902484485,-2.034047902484485,0.9999833378583987,64 128 256 512 1024,1.37054428e-01 9.25975119e-02 4.65153617e-02 1.65222281e-02 2.47546867e-03,0.00 0.00 0.00 0.00 0.00
muon,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.962191670996778,-0.962191670996778,0.9815630617195065,0.7259336060925267,-0.7259336060925267,0.9900941766573969,1.926331555716981,-1.926331555716981,0.9997999255194828,2.0371510091864504,-2.0371510091864504,0.9999853931175712,64 128 256 512 1024,1.36663909e-01 9.23940390e-02 4.81540201e-02 2.35705345e-02 9.63936280e-03,0.00 0.00 0.00 0.00 0.00
polar,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,1.4007622949124632,-1.4007622949124632,0.9175499300737342,0.8791588458780099,-0.8791588458780099,0.9962269287226817,1.8952418272235099,-1.8952418272235099,0.9892786489015468,2.034818115021683,-2.034818115021683,0.9999813861881351,64 128 256 512 1024,1.35073140e-01 9.17109127e-02 4.64329024e-02 1.65196564e-02 2.47982858e-03,0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,1.1853340655692217,-1.1853340655692217,0.9515957002564048,0.8650223540705347,-0.8650223540705347,0.9969375038193184,1.8991601365445188,-1.8991601365445188,0.9908941319956848,2.0355036555756567,-2.0355036555756567,0.9999828714563294,64 128 256 512 1024,1.35074854e-01 9.17808513e-02 4.69668669e-02 1.89950305e-02 4.88118206e-03,0.00 0.00 0.00 0.00 0.00
rmsprop,0.2,minibatch,bap,0.02,0.01,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.389481584584235,-2.389481584584235,0.8605559715254342,3.57002207293126,-3.57002207293126,0.9458530248106329,4.101733265215097,-4.101733265215097,0.9739671401701855,-1.1554322360380376,1.1554322360380376,0.4039728932549148,64 128 256 512 1024,2.05031703e-01 1.39913122e-01 8.60509525e-02 5.76331482e-03 2.55791386e-04,0.00 0.00 0.00 0.00 0.00
sgd,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.07121266144839283,0.07121266144839283,0.23792556333385417,0.923453559739558,-0.923453559739558,0.9988585705636849,2.017443553752302,-2.017443553752302,0.9999893407549134,2.0449617859863114,-2.0449617859863114,0.9999949036592303,64 128 256 512 1024,1.37002965e-01 1.09212307e-01 1.11585592e-01 1.28930127e-01 1.61389132e-01,0.00 0.00 0.00 0.00 0.00
trunc_sgd,0.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.16355292956830328,0.16355292956830328,0.965622273316707,1.1353746476596,-1.1353746476596,0.9760700385374623,1.6709820285016532,-1.6709820285016532,0.9946184194072045,2.081833075153248,-2.081833075153248,0.999848508479597,64 128 256 512 1024,3.09922983e-01 3.33925386e-01 4.04715955e-01 4.45528418e-01 4.72947011e-01,0.00 0.00 0.00 0.00 0.00
adamw,0.5,minibatch,bap,0.02,0.02,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,9.20758921389418,-9.20758921389418,0.5299941108268571,2.423803560041973,-2.423803560041973,0.8405691388511417,3.196114800061553,-3.196114800061553,0.9363587109415489,1.8483181722336965,-1.8483181722336965,0.984260546175495,64 128 256 512 1024,1.51253944e-01 1.16419775e-01 8.27571228e-02 4.90147198e-02 3.22666677e-15,0.00 0.00 0.00 0.00 0.00
freon,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.8412488475316278,-2.8412488475316278,0.8026849549055906,0.96659439918395,-0.96659439918395,0.9922878917978436,1.78759303877269,-1.78759303877269,0.9876547789084837,2.03625698965383,-2.03625698965383,0.9999721374639703,64 128 256 512 1024,5.79035270e-02 3.42764854e-02 1.42086645e-02 2.67602084e-03 1.09635897e-05,0.00 0.00 0.00 0.00 0.00
fro_norm,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.6367058018297356,-2.6367058018297356,0.8299848548321969,0.9007873016866313,-0.9007873016866313,0.9994739693357859,1.9906535734999387,-1.9906535734999387,0.9999922087433275,2.0356162567561227,-2.0356162567561227,0.9999744580272192,64 128 256 512 1024,5.96714479e-02 3.48397133e-02 1.42497731e-02 2.67678375e-03 2.31397967e-05,0.00 0.00 0.00 0.00 0.00
muon,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.1010286970872505,-2.1010286970872505,0.8732112213581175,0.7590916275183948,-0.7590916275183948,0.9907010223002722,1.9392540448598066,-1.9392540448598066,0.999867787893138,2.0385843353876623,-2.0385843353876623,0.9999740724137965,64 128 256 512 1024,5.94496826e-02 3.47116974e-02 1.43927218e-02 3.76034699e-03 1.24282565e-04,0.00 0.00 0.00 0.00 0.00
polar,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.8946556107934684,-2.8946556107934684,0.7969586262891337,0.9627775099513649,-0.9627775099513649,0.9941425564670895,1.7876580303505398,-1.7876580303505398,0.9877102687505599,2.0362534462536517,-2.0362534462536517,0.9999721153530888,64 128 256 512 1024,5.79035270e-02 3.43076972e-02 1.42086645e-02 2.67594036e-03 9.11531659e-06,0.00 0.00 0.00 0.00 0.00
rand_spectrum,0.5,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.277512366084795,-2.277512366084795,0.8584836229262888,0.9946210906447278,-0.9946210906447278,0.9970523323846198,1.847848008607961,-1.847848008607961,0.9924854255848246,2.0368776888679,-2.0368776888679,0.9999727064695805,64 128 256 512 1024,5.79889119e-02 3.43302824e-02 1.42780881e-02 3.20250813e-03 7.08664763e-05,0.00 0.00 0.00 0.00 0.00
rmsprop,0.5,minibatch,bap,0.02,0.01,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.302309584306622,-2.302309584306622,0.6107890702084289,2.9455307164867737,-2.9455307164867737,0.8167579373498252,3.7475315557140125,-3.7475315557140125,0.9072833151885461,-0.4096163364782203,0.4096163364782203,0.12487110168945059,64 128 256 512 1024,1.57097876e-01 1.16882977e-01 8.72761185e-02 5.91907067e-02 7.56132601e-05,0.00 0.00 0.00 0.00 0.00
