beta,optimizer,chi_width,loss_r2,delta_gap,gap_r2,num_runs,widths,mean_losses
0.2,sgd,-0.0712127,0.237926,0.923454,0.998859,15,64 128 256 512 1024,1.37002965e-01 1.09212307e-01 1.11585592e-01 1.28930127e-01 1.61389132e-01
0.2,adamw,9.56756,0.599124,2.84591,0.970918,15,64 128 256 512 1024,1.87192649e-01 1.35601923e-01 8.17283193e-02 3.70394206e-03 4.50277138e-15
0.2,rmsprop,2.38948,0.860556,3.57002,0.945853,15,64 128 256 512 1024,2.05031703e-01 1.39913122e-01 8.60509525e-02 5.76331482e-03 2.55791386e-04
0.2,trunc_sgd,-0.163553,0.965622,1.13537,0.97607,15,64 128 256 512 1024,3.09922983e-01 3.33925386e-01 4.04715955e-01 4.45528418e-01 4.72947011e-01
0.2,rand_spectrum,1.18533,0.951596,0.865022,0.996938,15,64 128 256 512 1024,1.35074854e-01 9.17808513e-02 4.69668669e-02 1.89950305e-02 4.88118206e-03
0.2,muon,0.962192,0.981563,0.725934,0.990094,15,64 128 256 512 1024,1.36663909e-01 9.23940390e-02 4.81540201e-02 2.35705345e-02 9.63936280e-03
0.2,polar,1.40076,0.91755,0.879159,0.996227,15,64 128 256 512 1024,1.35073140e-01 9.17109127e-02 4.64329024e-02 1.65196564e-02 2.47982858e-03
0.2,fro_norm,1.40684,0.918734,0.880874,0.998851,15,64 128 256 512 1024,1.37054428e-01 9.25975119e-02 4.65153617e-02 1.65222281e-02 2.47546867e-03
0.2,freon,1.40083,0.917544,0.881225,0.995612,15,64 128 256 512 1024,1.35073140e-01 9.17505696e-02 4.64329024e-02 1.65196549e-02 2.47978551e-03
0.5,sgd,-0.0593962,0.086224,0.934662,0.999292,15,64 128 256 512 1024,5.95777407e-02 4.23268788e-02 4.07963072e-02 4.85816598e-02 6.83213025e-02
0.5,adamw,9.20759,0.529994,2.4238,0.840569,15,64 128 256 512 1024,1.51253944e-01 1.16419775e-01 8.27571228e-02 4.90147198e-02 3.22666677e-15
0.5,rmsprop,2.30231,0.610789,2.94553,0.816758,15,64 128 256 512 1024,1.57097876e-01 1.16882977e-01 8.72761185e-02 5.91907067e-02 7.56132601e-05
0.5,trunc_sgd,-0.301279,0.964434,1.21228,0.971772,15,64 128 256 512 1024,2.06939295e-01 2.42658839e-01 3.44722718e-01 4.08259124e-01 4.53255902e-01
0.5,rand_spectrum,2.27751,0.858484,0.994621,0.997052,15,64 128 256 512 1024,5.79889119e-02 3.43302824e-02 1.42780881e-02 3.20250813e-03 7.08664763e-05
0.5,muon,2.10103,0.873211,0.759092,0.990701,15,64 128 256 512 1024,5.94496826e-02 3.47116974e-02 1.43927218e-02 3.76034699e-03 1.24282565e-04
0.5,polar,2.89466,0.796959,0.962778,0.994143,15,64 128 256 512 1024,5.79035270e-02 3.43076972e-02 1.42086645e-02 2.67594036e-03 9.11531659e-06
0.5,fro_norm,2.63671,0.829985,0.900787,0.999474,15,64 128 256 512 1024,5.96714479e-02 3.48397133e-02 1.42497731e-02 2.67678375e-03 2.31397967e-05
0.5,freon,2.84125,0.802685,0.966594,0.992288,15,64 128 256 512 1024,5.79035270e-02 3.42764854e-02 1.42086645e-02 2.67602084e-03 1.09635897e-05
0.8,sgd,0.00698407,0.000719576,0.940775,0.999431,15,64 128 256 512 1024,2.81595811e-02 1.76618323e-02 1.51183475e-02 1.76095658e-02 2.75269231e-02
0.8,adamw,0.554287,0.867541,1.25684,0.983628,15,64 128 256 512 1024,1.65353651e-01 1.44012166e-01 1.04823582e-01 8.37192287e-02 3.17625309e-02
0.8,rmsprop,0.486245,0.92554,1.44517,0.98353,15,64 128 256 512 1024,2.27456783e-01 1.59173364e-01 1.42774639e-01 1.03404800e-01 5.23229024e-02
0.8,trunc_sgd,-0.435638,0.957089,1.23321,0.980216,15,64 128 256 512 1024,1.41522651e-01 1.79316615e-01 3.03759833e-01 3.81846577e-01 4.38926786e-01
0.8,rand_spectrum,2.57728,0.908,1.06737,0.994989,15,64 128 256 512 1024,2.68655028e-02 1.37278344e-02 4.57663011e-03 5.72049292e-04 1.73812820e-05
0.8,muon,2.84337,0.875436,0.788152,0.992977,15,64 128 256 512 1024,2.81186371e-02 1.39803930e-02 4.60262193e-03 6.14935338e-04 7.04111767e-06
0.8,polar,2.53387,0.926418,1.04862,0.991079,15,64 128 256 512 1024,2.65990372e-02 1.35798492e-02 4.56803789e-03 4.35123521e-04 2.28118021e-05
0.8,fro_norm,2.75333,0.907536,0.921708,0.999581,15,64 128 256 512 1024,2.81279416e-02 1.39370582e-02 4.58839489e-03 4.35811788e-04 1.14131359e-05
0.8,freon,2.50502,0.929453,1.04264,0.990682,15,64 128 256 512 1024,2.65990372e-02 1.35869940e-02 4.56803789e-03 4.35041962e-04 2.52193995e-05
1.2,sgd,0.183544,0.281544,0.945392,0.999491,15,64 128 256 512 1024,1.45513400e-02 8.22143412e-03 5.88060248e-03 5.77872681e-03 9.18754842e-03
1.2,adamw,0.299761,0.892677,1.08901,0.998421,15,64 128 256 512 1024,1.95574239e-01 1.93014791e-01 1.14644570e-01 1.12035001e-01 9.08333709e-02
1.2,rmsprop,0.176558,0.971389,1.25527,0.999274,15,64 128 256 512 1024,2.19483187e-01 2.02400039e-01 1.72768831e-01 1.46226818e-01 1.40038510e-01
1.2,trunc_sgd,-0.614182,0.945237,1.24222,0.990086,15,64 128 256 512 1024,8.53833407e-02 1.27706667e-01 2.71913504e-01 3.60504488e-01 4.27031487e-01
1.2,rand_spectrum,2.51699,0.959259,1.178,0.989746,15,64 128 256 512 1024,1.33366268e-02 5.98586366e-03 1.63098941e-03 1.33325057e-04 1.45446726e-05
1.2,muon,2.81393,0.945659,0.810541,0.994072,15,64 128 256 512 1024,1.44842664e-02 6.13394209e-03 1.63236967e-03 1.14549170e-04 6.16433052e-06
1.2,polar,2.96938,0.933868,1.1542,0.990397,15,64 128 256 512 1024,1.31626573e-02 5.91936583e-03 1.63937752e-03 8.64755226e-05 3.69554706e-06
1.2,fro_norm,2.8389,0.949677,0.93195,0.999423,15,64 128 256 512 1024,1.45399850e-02 6.15226508e-03 1.64964306e-03 8.64854325e-05 6.54087580e-06
1.2,freon,2.72966,0.95041,1.14805,0.990293,15,64 128 256 512 1024,1.31626573e-02 5.92201529e-03 1.63937752e-03 8.51661801e-05 8.54855883e-06
1.5,sgd,0.329963,0.62475,0.947596,0.999505,15,64 128 256 512 1024,1.10104640e-02 6.09105888e-03 4.07324824e-03 3.38814726e-03 4.70465437e-03
1.5,adamw,0.257064,0.869269,1.10094,0.996605,15,64 128 256 512 1024,2.14827692e-01 1.95967391e-01 1.23946334e-01 1.32740016e-01 1.07093024e-01
1.5,rmsprop,0.180656,0.920092,1.22611,0.999261,15,64 128 256 512 1024,2.67182564e-01 2.34445949e-01 1.88322683e-01 1.69113924e-01 1.68199492e-01
1.5,trunc_sgd,-0.697854,0.940877,1.26324,0.989694,15,64 128 256 512 1024,6.76139879e-02 1.08031449e-01 2.57749692e-01 3.50708077e-01 4.21418319e-01
1.5,rand_spectrum,2.19618,0.973823,1.22361,0.99427,15,64 128 256 512 1024,9.85850301e-03 4.24630412e-03 1.10719194e-03 1.00502410e-04 3.17061461e-05
1.5,muon,3.05774,0.937459,0.813468,0.99352,15,64 128 256 512 1024,1.09299639e-02 4.40194986e-03 1.11348423e-03 6.65307598e-05 2.22110987e-06
1.5,polar,2.45795,0.955483,1.19152,0.989168,15,64 128 256 512 1024,9.63336322e-03 4.24119799e-03 1.11143570e-03 5.10318265e-05 1.75397514e-05
